hhcode,descripcio,id,latitud,longitud
"207",,"1",-4.0426251353467,-73.4376947950452
"208",,"2",-4.04273296054251,-73.4377296604607
"206",,"3",-4.04277684830228,-73.437495969218
"205",,"4",-4.04288465275496,-73.4374937889534
"204",,"5",-4.04296071914899,-73.4375667574471
"203",,"6",-4.04304895477118,-73.4375897295209
"202",,"7",-4.04313797252584,-73.4375773649375
"201",,"8",-4.04323837198261,-73.4375816298067
"999",cancha,"9",-4.04340441005526,-73.437944851797
"999",posta de salud,"10",-4.04296066792645,-73.4384582327796
"999",local comunal,"11",-4.04307018884328,-73.438974336965
"999",iglesia,"12",-4.04326305687388,-73.4389114852838
"211",,"13",-4.04327821028202,-73.4387888822559
"210",,"14",-4.04338709326209,-73.4387382800378
"209",,"15",-4.04342156115319,-73.4386379920919
"101",,"16",-4.0437139692484,-73.4382595855232
"102",,"17",-4.04380066384229,-73.4380962196835
"103",,"18",-4.0438347171028,-73.4380287928401
"104",,"19",-4.04388084948194,-73.437943264659
"105",,"20",-4.04423407038872,-73.4377355422117
"322",,"21",-4.04396780434288,-73.4372156704693
"106",,"22",-4.04435424984468,-73.4378148599173
"107",,"23",-4.04445257037268,-73.4378257308076
"108",,"24",-4.04462040374212,-73.4378495073208
"109",,"25",-4.04471827653828,-73.437868419769
"110",,"26",-4.04480932886923,-73.4378824142967
"111",,"27",-4.04498977532491,-73.4378996478646
"112",,"28",-4.04506054209221,-73.4379291588632
"113",,"29",-4.0451253834221,-73.4379708603067
"114",,"30",-4.04525331576505,-73.4379300274454
"116",,"31",-4.04541894459782,-73.4379552700288
"117",,"32",-4.0455443281448,-73.4379081227031
"118",,"33",-4.04561179705175,-73.4379476858661
"119",,"34",-4.04570472442876,-73.4379392772097
"320",,"35",-4.0453719138423,-73.4383141964194
"319",,"36",-4.04518148681806,-73.4386118541993
"317",,"37",-4.04510551853715,-73.4385931061262
"315",,"38",-4.04502387067194,-73.4385756757878
"318",,"39",-4.04516736545176,-73.4384667446207
"316",,"40",-4.04508646846827,-73.4384495868749
"314",,"41",-4.04499873029765,-73.438326306121
"313",,"42",-4.04493922128197,-73.4382977128071
"312",,"43",-4.04477901258646,-73.4383654233801
"321",,"44",-4.04478486864767,-73.4381779473993
"311",,"45",-4.04466328456019,-73.4385660940282
"310",,"46",-4.04458631415109,-73.4385354498964
"309",,"47",-4.04451925206234,-73.438332395171
"307",,"48",-4.04442085866626,-73.4383159612306
"305",,"49",-4.04433307682795,-73.4382835348448
"303",,"50",-4.04420914967375,-73.4383340364101
"308",,"51",-4.0444618715245,-73.4385564404335
"306",,"52",-4.04429309863349,-73.4385432201274
"304",,"53",-4.04421610731368,-73.4385232054875
"302",,"54",-4.04409607640787,-73.4385104063723
"301",,"55",-4.04401162319129,-73.4384789726438
